datetime_utc,date,ticker,action,side,count,price_cents,cost_usd,fee_usd,settlement,pnl_usd
2026-07-01T21:47:24.569588Z,2026-07-01,KXMENWORLDCUP-26-FR,BUY,NO,7.41,66,4.87,0.00,,
2026-07-01T21:48:38.658598Z,2026-07-01,KXMENWORLDCUP-26-ES,BUY,YES,50.5,9,4.70,0.00,,
2026-07-02T04:47:38.457952Z,2026-07-02,KXHIGHNY-26JUL02-T99,BUY,NO,8.66,50,4.33,0.00,no,-5.70
2026-07-02T04:47:38.457952Z,2026-07-02,KXHIGHNY-26JUL02-T99,BUY,NO,1,50,0.50,0.00,no,-5.70
2026-07-02T12:00:14.37616Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,5,50,2.50,0.00,yes,-16.73
2026-07-02T12:00:14.37616Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,1,50,0.50,0.00,yes,-16.73
2026-07-02T14:02:33.699109Z,2026-07-02,KXMENWORLDCUP-26-FR,SELL,YES,7.41,35,2.61,0.00,,
2026-07-02T14:03:05.284224Z,2026-07-02,KXMENWORLDCUP-26-ES,SELL,NO,6,90,5.41,0.00,,
2026-07-02T14:03:05.284224Z,2026-07-02,KXMENWORLDCUP-26-ES,SELL,NO,44.5,90,40.09,0.00,,
2026-07-02T14:04:20.894398Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,4.73,45,2.13,0.00,yes,-16.73
2026-07-02T14:04:20.894398Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,1.27,45,0.57,0.00,yes,-16.73
2026-07-02T14:04:21.201277Z,2026-07-02,KXHIGHCHI-26JUL02-B95.5,SELL,NO,5,56,2.80,0.00,yes,-4.63
2026-07-02T14:04:21.373604Z,2026-07-02,KXHIGHMIA-26JUL03-B92.5,SELL,NO,0.14,56,0.08,0.00,no,2.93
2026-07-02T14:04:21.373604Z,2026-07-02,KXHIGHMIA-26JUL03-B92.5,SELL,NO,0.14,56,0.08,0.00,no,2.93
2026-07-02T14:04:21.373604Z,2026-07-02,KXHIGHMIA-26JUL03-B92.5,SELL,NO,3.72,64,2.38,0.00,no,2.93
2026-07-02T14:44:49.608063Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,YES,12,58,6.96,0.00,yes,-16.73
2026-07-02T15:23:42.239529Z,2026-07-02,KXHIGHNY-26JUL03-B98.5,SELL,NO,0.7,66,0.46,0.00,yes,-3.90
2026-07-02T15:23:42.239529Z,2026-07-02,KXHIGHNY-26JUL03-B98.5,SELL,NO,0.2,66,0.13,0.00,yes,-3.90
2026-07-02T15:23:42.239529Z,2026-07-02,KXHIGHNY-26JUL03-B98.5,SELL,NO,2.1,66,1.39,0.00,yes,-3.90
2026-07-02T15:23:42.307333Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,5,40,2.00,0.00,yes,-16.73
2026-07-02T15:23:42.437352Z,2026-07-02,KXHIGHCHI-26JUL03-B89.5,SELL,NO,1,73,0.73,0.00,no,1.62
2026-07-02T15:23:42.437352Z,2026-07-02,KXHIGHCHI-26JUL03-B89.5,SELL,NO,1,73,0.73,0.00,no,1.62
2026-07-02T15:28:49.683031Z,2026-07-02,KXHIGHNY-26JUL02-T99,SELL,YES,6,9,0.54,0.00,no,-5.70
2026-07-02T15:28:49.683031Z,2026-07-02,KXHIGHNY-26JUL02-T99,SELL,YES,3.66,9,0.33,0.00,no,-5.70
2026-07-02T17:01:20.905446Z,2026-07-02,KXHIGHNY-26JUL03-B98.5,SELL,NO,1,63,0.63,0.00,yes,-3.90
2026-07-02T17:01:20.958527Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,5,37,1.85,0.00,yes,-16.73
2026-07-02T17:01:21.011029Z,2026-07-02,KXHIGHCHI-26JUL03-B89.5,SELL,NO,3,64,1.92,0.00,no,1.62
2026-07-02T17:01:21.061204Z,2026-07-02,KXHIGHCHI-26JUL02-B95.5,SELL,NO,3,52,1.56,0.00,yes,-4.63
2026-07-02T17:01:21.11042Z,2026-07-02,KXHIGHMIA-26JUL03-B92.5,SELL,NO,1,51,0.51,0.00,no,2.93
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,1.97,6,0.12,0.00,yes,-2.41
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,6,6,0.36,0.00,yes,-2.41
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,6,6,0.36,0.00,yes,-2.41
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,1,6,0.06,0.00,yes,-2.41
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,2.03,6,0.12,0.00,yes,-2.41
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,10,6,0.60,0.00,yes,-2.41
2026-07-02T17:01:21.238952Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,6,6,0.36,0.00,yes,-2.41
2026-07-02T17:01:21.296776Z,2026-07-02,KXHIGHDEN-26JUL03-B92.5,SELL,NO,1,49,0.49,0.00,no,2.04
2026-07-02T17:01:21.348266Z,2026-07-02,KXHIGHDEN-26JUL02-B89.5,SELL,NO,4,44,1.76,0.00,yes,-1.82
2026-07-02T17:01:21.396127Z,2026-07-02,KXHIGHLAX-26JUL03-B73.5,SELL,NO,3,61,1.83,0.00,yes,-2.04
2026-07-02T17:01:21.451469Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,1,38,0.38,0.00,yes,-2.25
2026-07-02T17:01:21.451469Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,1,38,0.38,0.00,yes,-2.25
2026-07-02T17:01:21.503031Z,2026-07-02,KXHIGHAUS-26JUL03-B96.5,SELL,NO,3,52,1.56,0.00,no,1.44
2026-07-02T17:01:21.55244Z,2026-07-02,KXBTCD-26JUL0317-T59999.99,SELL,NO,2,10,0.20,0.00,yes,-0.37
2026-07-02T17:01:43.190656Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,3,38,1.14,0.00,yes,-2.25
2026-07-02T17:03:30.947559Z,2026-07-02,KXHIGHNY-26JUL03-B98.5,SELL,NO,1,63,0.63,0.00,yes,-3.90
2026-07-02T17:05:47.674085Z,2026-07-02,KXHIGHMIA-26JUL03-B92.5,SELL,NO,2,51,1.02,0.00,no,2.93
2026-07-02T17:35:00.5047Z,2026-07-02,KXHIGHDEN-26JUL03-B92.5,SELL,NO,1,49,0.49,0.00,no,2.04
2026-07-02T17:55:24.689177Z,2026-07-02,KXHIGHDEN-26JUL03-B92.5,SELL,NO,2,49,0.98,0.00,no,2.04
2026-07-02T19:05:25.383647Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,19,1,0.19,0.00,yes,-2.41
2026-07-02T19:05:25.555633Z,2026-07-02,KXBTCD-26JUL0317-T62999.99,BUY,YES,1,10,0.10,0.00,no,-0.10
2026-07-02T19:05:25.818265Z,2026-07-02,KXBTCD-26JUL0217-T61999.99,BUY,YES,1,14,0.14,0.00,no,-0.14
2026-07-02T19:05:25.919151Z,2026-07-02,KXBTCD-26JUL0216-T61899.99,BUY,YES,2,8,0.16,0.00,no,-0.16
2026-07-02T19:05:26.09855Z,2026-07-02,KXETHD-26JUL0317-T1669.99,SELL,NO,1,19,0.19,0.00,yes,-0.19
2026-07-02T19:06:33.75671Z,2026-07-02,KXETHD-26JUL0216-T1709.99,BUY,YES,2,8,0.16,0.00,no,-0.16
2026-07-02T20:42:50.279983Z,2026-07-02,KXHIGHNY-26JUL03-B98.5,SELL,NO,1,63,0.63,0.00,yes,-3.90
2026-07-02T20:49:24.613274Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,2,5,0.10,0.00,yes,-16.73
2026-07-02T20:49:24.704865Z,2026-07-02,KXHIGHCHI-26JUL02-B95.5,SELL,NO,0.74,8,0.06,0.00,yes,-4.63
2026-07-02T20:49:24.704865Z,2026-07-02,KXHIGHCHI-26JUL02-B95.5,SELL,NO,0.26,8,0.02,0.00,yes,-4.63
2026-07-02T20:49:24.801444Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,13,1,0.13,0.00,yes,-2.41
2026-07-02T20:49:24.90047Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,2,5,0.10,0.00,yes,-2.25
2026-07-02T20:49:25.011714Z,2026-07-02,KXBTCD-26JUL0317-T59999.99,SELL,NO,1,10,0.10,0.00,yes,-0.37
2026-07-02T21:56:19.192907Z,2026-07-02,KXHIGHNY-26JUL02-B99.5,SELL,NO,11,1,0.11,0.00,yes,-16.73
2026-07-02T21:56:19.281986Z,2026-07-02,KXHIGHCHI-26JUL02-B95.5,SELL,NO,11,1,0.11,0.00,yes,-4.63
2026-07-02T21:56:19.373658Z,2026-07-02,KXHIGHMIA-26JUL02-B93.5,SELL,NO,11,1,0.11,0.00,yes,-2.41
2026-07-02T21:56:19.485923Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,3,3,0.09,0.00,yes,-2.25
2026-07-02T21:56:19.582782Z,2026-07-02,KXHIGHAUS-26JUL02-B95.5,SELL,NO,2,4,0.08,0.00,yes,-0.08
2026-07-02T21:56:19.672367Z,2026-07-02,KXBTCD-26JUL0317-T59999.99,SELL,NO,1,7,0.07,0.00,yes,-0.37
2026-07-02T22:57:03.243913Z,2026-07-02,KXHIGHCHI-26JUL02-B95.5,SELL,NO,8,1,0.08,0.00,yes,-4.63
2026-07-02T22:57:03.294903Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,8,1,0.08,0.00,yes,-2.25
2026-07-02T23:58:09.205435Z,2026-07-02,KXHIGHDEN-26JUL02-B89.5,SELL,NO,1,3,0.03,0.00,yes,-1.82
2026-07-02T23:58:09.205435Z,2026-07-02,KXHIGHDEN-26JUL02-B89.5,SELL,NO,1,3,0.03,0.00,yes,-1.82
2026-07-02T23:58:09.282337Z,2026-07-02,KXHIGHLAX-26JUL02-B72.5,SELL,NO,8,1,0.08,0.00,yes,-2.25
2026-07-03T17:09:32.302632Z,2026-07-03,KXHIGHCHI-26JUL03-T89,BUY,YES,7,1,0.07,0.00,no,-0.07
2026-07-03T18:57:36.723614Z,2026-07-03,KXHIGHCHI-26JUL03-B91.5,SELL,NO,7,1,0.07,0.00,yes,-0.24
2026-07-03T20:11:54.279508Z,2026-07-03,KXHIGHCHI-26JUL03-B91.5,SELL,NO,6,1,0.06,0.00,yes,-0.24
2026-07-03T20:11:54.368914Z,2026-07-03,KXHIGHLAX-26JUL03-B73.5,SELL,NO,2,3,0.06,0.00,yes,-2.04
2026-07-03T20:11:54.454648Z,2026-07-03,KXETHD-26JUL0417-T1699.99,SELL,NO,1,4,0.04,0.00,yes,-0.16
2026-07-03T21:54:05.107879Z,2026-07-03,KXHIGHNY-26JUL03-B98.5,SELL,NO,1,3,0.03,0.00,yes,-3.90
2026-07-03T21:54:05.170621Z,2026-07-03,KXHIGHCHI-26JUL03-B91.5,SELL,NO,6,1,0.06,0.00,yes,-0.24
2026-07-03T21:54:05.246035Z,2026-07-03,KXHIGHLAX-26JUL03-B73.5,SELL,NO,3,2,0.06,0.00,yes,-2.04
2026-07-03T21:54:05.324035Z,2026-07-03,KXETHD-26JUL0417-T1699.99,SELL,NO,2,3,0.06,0.00,yes,-0.16
2026-07-03T22:51:56.896301Z,2026-07-03,KXHIGHCHI-26JUL03-B91.5,SELL,NO,5,1,0.05,0.00,yes,-0.24
2026-07-03T22:51:56.950095Z,2026-07-03,KXHIGHLAX-26JUL03-B73.5,SELL,NO,5,1,0.05,0.00,yes,-2.04
2026-07-03T22:51:57.001047Z,2026-07-03,KXHIGHAUS-26JUL03-B98.5,SELL,NO,5,1,0.05,0.00,yes,-0.05
2026-07-03T22:51:57.053368Z,2026-07-03,KXETHD-26JUL0417-T1699.99,SELL,NO,1,3,0.03,0.00,yes,-0.16
2026-07-03T23:54:03.873037Z,2026-07-03,KXHIGHLAX-26JUL03-B73.5,SELL,NO,4,1,0.04,0.00,yes,-2.04
2026-07-03T23:54:03.956259Z,2026-07-03,KXETHD-26JUL0417-T1699.99,SELL,NO,1,3,0.03,0.00,yes,-0.16
2026-07-04T12:54:35.328097Z,2026-07-04,KXHIGHCHI-26JUL04-B85.5,SELL,NO,1,74,0.74,0.00,yes,-0.97
2026-07-04T12:54:35.415983Z,2026-07-04,KXHIGHMIA-26JUL04-B90.5,SELL,NO,1,51,0.51,0.00,no,0.49
2026-07-04T12:54:35.50206Z,2026-07-04,KXHIGHDEN-26JUL04-B89.5,SELL,NO,1,41,0.41,0.00,no,1.09
2026-07-04T12:54:35.589833Z,2026-07-04,KXHIGHLAX-26JUL04-B73.5,SELL,NO,2,35,0.70,0.00,no,4.50
2026-07-04T12:54:35.686619Z,2026-07-04,KXHIGHAUS-26JUL04-B97.5,SELL,NO,1,41,0.41,0.00,yes,-1.27
2026-07-04T12:54:35.795609Z,2026-07-04,KXBTCD-26JUL0417-T61999.99,SELL,NO,8,10,0.80,0.00,yes,-1.40
2026-07-04T12:54:35.884627Z,2026-07-04,KXETHD-26JUL0417-T1739.99,SELL,NO,6,12,0.72,0.00,yes,-1.28
2026-07-04T14:22:19.004376Z,2026-07-04,KXHIGHMIA-26JUL05-B91.5,SELL,NO,1,57,0.57,0.00,,
2026-07-04T14:22:19.136154Z,2026-07-04,KXHIGHDEN-26JUL04-B89.5,SELL,NO,1,50,0.50,0.00,no,1.09
2026-07-04T14:22:19.19428Z,2026-07-04,KXHIGHLAX-26JUL05-B74.5,SELL,NO,1,61,0.61,0.00,,
2026-07-04T14:22:19.242758Z,2026-07-04,KXHIGHLAX-26JUL04-B73.5,SELL,NO,2,31,0.62,0.00,no,4.50
2026-07-04T14:22:19.295188Z,2026-07-04,KXHIGHAUS-26JUL05-B98.5,SELL,NO,1,52,0.52,0.00,,
2026-07-04T14:22:19.445051Z,2026-07-04,KXHIGHAUS-26JUL04-B97.5,SELL,NO,1,50,0.50,0.00,yes,-1.27
